Desa,Klasifikasi.Desa,Jumlah Penduduk,Puskesmas,Jarak,BTS,Ketinggian,Pasar,Jumlah Usaha,Topologi
Ampera,A,1040,tidak ada,25,1,611,tidak ada,15,dataran
Anca,B,639,tidak ada,89,1,1000,tidak ada,21,pegunungan
Bahagia,C,1024,tidak ada,25,1,583,ada,17,pegunungan
Baku Bakulu,B,1491,tidak ada,25,1,642,tidak ada,28,dataran
Balamoa,B,1048,tidak ada,7,0,95,tidak ada,12,pegunungan
Balane,A,1220,tidak ada,20,0,198,tidak ada,16,perbukitan
Balaroa Pewunu,B,1078,tidak ada,7,0,77,tidak ada,11,dataran
Baliase,B,3744,tidak ada,18,1,70,tidak ada,18,dataran
Balongga,B,848,tidak ada,13,0,94,tidak ada,13,pegunungan
Baluase,C,1927,ada,13,1,102,ada,34,dataran
Balumpewa,B,588,tidak ada,7,0,105,tidak ada,14,pegunungan
Banasu,B,251,tidak ada,123,0,792,tidak ada,2,pegunungan
Bangga,C,2444,tidak ada,13,0,122,ada,42,dataran
Banggaiba,B,514,tidak ada,62,0,167,tidak ada,1,pegunungan
Beka,B,2674,tidak ada,18,2,37,tidak ada,47,dataran
Berdikari,A,1467,tidak ada,25,1,638,tidak ada,20,dataran
Binangga,C,2841,ada,18,3,71,tidak ada,46,dataran
Bobo,B,1219,tidak ada,7,1,79,ada,30,dataran
Bobo,A,1163,tidak ada,25,1,720,ada,17,dataran
Boladangku,C,555,tidak ada,62,0,559,tidak ada,10,pegunungan
Boladapu,C,2121,ada,62,1,567,tidak ada,30,pegunungan
Bomba,A,592,tidak ada,18,0,79,tidak ada,21,dataran
Bora,C,2187,tidak ada,14,1,122,tidak ada,38,dataran
Boyabaliase,A,697,tidak ada,18,1,106,tidak ada,2,dataran
Bulili,B,1400,tidak ada,35,0,649,tidak ada,44,dataran
Bulubete,C,1465,tidak ada,13,0,94,tidak ada,22,dataran
Bunga,A,1148,tidak ada,25,1,640,tidak ada,37,dataran
Daenggune,A,880,tidak ada,20,0,245,tidak ada,38,perbukitan
Doda,A,1440,tidak ada,20,0,347,tidak ada,13,perbukitan
Dombu,A,733,tidak ada,33,0,1350,tidak ada,7,pegunungan
Gimpu,B,816,tidak ada,96,0,420,tidak ada,12,pegunungan
Jono,B,640,tidak ada,13,0,80,tidak ada,7,pegunungan
Jono Oge,C,2817,tidak ada,14,1,140,tidak ada,79,dataran
Kabobona,B,1972,tidak ada,7,0,33,tidak ada,407,dataran
Kadidia,B,508,tidak ada,35,0,633,tidak ada,14,dataran
Kalamanta,B,347,tidak ada,123,0,1067,tidak ada,3,pegunungan
Kalawara,C,1822,tidak ada,32,1,82,tidak ada,32,pegunungan
Kaleke,B,2400,ada,7,1,46,tidak ada,38,dataran
Kalora,A,1622,tidak ada,20,0,164,tidak ada,2,perbukitan
Kalukubula,C,10426,tidak ada,14,1,22,tidak ada,225,dataran
Kalukutinggu,B,426,tidak ada,7,0,121,tidak ada,15,perbukitan
Kamorara A,B,1829,ada,35,0,651,tidak ada,36,dataran
Kamorara B,B,1583,tidak ada,35,0,643,ada,37,dataran
Kantewu,B,517,ada,123,0,946,tidak ada,5,pegunungan
Kantewu II,B,687,tidak ada,123,0,989,tidak ada,4,pegunungan
Kanuna,A,1131,tidak ada,20,1,197,tidak ada,7,perbukitan
Kapiroe,B,1167,tidak ada,25,1,610,tidak ada,28,dataran
Karawana,B,1773,tidak ada,7,0,75,tidak ada,31,dataran
Karunia,B,1265,tidak ada,25,1,738,tidak ada,4,dataran
Kayumpia,A,454,tidak ada,20,0,1447,tidak ada,3,pegunungan
Koja,B,633,tidak ada,123,0,566,tidak ada,5,pegunungan
Kotapulu,C,1948,tidak ada,7,2,32,ada,25,dataran
Kotarindau,B,3767,ada,7,1,28,tidak ada,124,dataran
Lambara,C,1464,tidak ada,17,0,93,tidak ada,22,dataran
Langaleso,B,2495,tidak ada,7,1,45,tidak ada,55,dataran
Langko,B,817,tidak ada,89,0,995,tidak ada,10,pegunungan
Lawe,B,428,tidak ada,123,0,876,tidak ada,1,pegunungan
Lawua,B,1494,ada,96,1,426,tidak ada,26,dataran
Lebanu,A,474,tidak ada,18,0,139,tidak ada,5,perbukitan
Lembantongua,C,2054,tidak ada,25,1,900,ada,30,dataran
Lemosiranindi,A,614,tidak ada,33,0,1000,ada,5,pegunungan
Lempelero,B,1265,tidak ada,96,0,412,tidak ada,10,pegunungan
Lewara,A,867,tidak ada,33,0,250,tidak ada,13,pegunungan
Lolu,C,4273,tidak ada,14,1,74,tidak ada,72,dataran
Lonca,B,496,tidak ada,62,0,667,tidak ada,7,pegunungan
Lone Basa,B,956,tidak ada,123,0,962,tidak ada,3,pegunungan
