Desa,Klasifikasi.Desa,Jumlah Penduduk,Ketinggian,Puskesmas,Pasar,Jumlah Usaha,Topologi,Jarak,BTS
Ampera,Swadaya,1040,611,tidak ada,tidak ada,15,dataran,25,1
Anca,Swakarya,639,1000,tidak ada,tidak ada,21,pegunungan,89,1
Bahagia,Swasembada,1024,583,tidak ada,ada,17,pegunungan,25,1
Baku Bakulu,Swakarya,1491,642,tidak ada,tidak ada,28,dataran,25,1
Balamoa,Swakarya,1048,95,tidak ada,tidak ada,12,pegunungan,7,0
Balane,Swadaya,1220,198,tidak ada,tidak ada,16,perbukitan,20,0
Balaroa Pewunu,Swakarya,1078,77,tidak ada,tidak ada,11,dataran,7,0
Baliase,Swakarya,3744,70,tidak ada,tidak ada,18,dataran,18,1
Balongga,Swakarya,848,94,tidak ada,tidak ada,13,pegunungan,13,0
Baluase,Swasembada,1927,102,ada,ada,34,dataran,13,1
Balumpewa,Swakarya,588,105,tidak ada,tidak ada,14,pegunungan,7,0
Banasu,Swakarya,251,792,tidak ada,tidak ada,2,pegunungan,123,0
Bangga,Swasembada,2444,122,tidak ada,ada,42,dataran,13,0
Banggaiba,Swakarya,514,167,tidak ada,tidak ada,1,pegunungan,62,0
Beka,Swakarya,2674,37,tidak ada,tidak ada,47,dataran,18,2
Berdikari,Swadaya,1467,638,tidak ada,tidak ada,20,dataran,25,1
Binangga,Swasembada,2841,71,ada,tidak ada,46,dataran,18,3
Bobo,Swakarya,1219,79,tidak ada,ada,30,dataran,7,1
Bobo,Swadaya,1163,720,tidak ada,ada,17,dataran,25,1
Boladangku,Swasembada,555,559,tidak ada,tidak ada,10,pegunungan,62,0
Boladapu,Swasembada,2121,567,ada,tidak ada,30,pegunungan,62,1
Bomba,Swadaya,592,79,tidak ada,tidak ada,21,dataran,18,0
Bora,Swasembada,2187,122,tidak ada,tidak ada,38,dataran,14,1
Boyabaliase,Swadaya,697,106,tidak ada,tidak ada,2,dataran,18,1
Bulili,Swakarya,1400,649,tidak ada,tidak ada,44,dataran,35,0
Bulubete,Swasembada,1465,94,tidak ada,tidak ada,22,dataran,13,0
Bunga,Swadaya,1148,640,tidak ada,tidak ada,37,dataran,25,1
Daenggune,Swadaya,880,245,tidak ada,tidak ada,38,perbukitan,20,0
Doda,Swadaya,1440,347,tidak ada,tidak ada,13,perbukitan,20,0
Dombu,Swadaya,733,1350,tidak ada,tidak ada,7,pegunungan,33,0
Gimpu,Swakarya,816,420,tidak ada,tidak ada,12,pegunungan,96,0
Jono,Swakarya,640,80,tidak ada,tidak ada,7,pegunungan,13,0
Jono Oge,Swasembada,2817,140,tidak ada,tidak ada,79,dataran,14,1
Kabobona,Swakarya,1972,33,tidak ada,tidak ada,407,dataran,7,0
Kadidia,Swakarya,508,633,tidak ada,tidak ada,14,dataran,35,0
Kalamanta,Swakarya,347,1067,tidak ada,tidak ada,3,pegunungan,123,0
Kalawara,Swasembada,1822,82,tidak ada,tidak ada,32,pegunungan,32,1
Kaleke,Swakarya,2400,46,ada,tidak ada,38,dataran,7,1
Kalora,Swadaya,1622,164,tidak ada,tidak ada,2,perbukitan,20,0
Kalukubula,Swasembada,10426,22,tidak ada,tidak ada,225,dataran,14,1
Kalukutinggu,Swakarya,426,121,tidak ada,tidak ada,15,perbukitan,7,0
Kamorara A,Swakarya,1829,651,ada,tidak ada,36,dataran,35,0
Kamorara B,Swakarya,1583,643,tidak ada,ada,37,dataran,35,0
Kantewu,Swakarya,517,946,ada,tidak ada,5,pegunungan,123,0
Kantewu II,Swakarya,687,989,tidak ada,tidak ada,4,pegunungan,123,0
Kanuna,Swadaya,1131,197,tidak ada,tidak ada,7,perbukitan,20,1
Kapiroe,Swakarya,1167,610,tidak ada,tidak ada,28,dataran,25,1
Karawana,Swakarya,1773,75,tidak ada,tidak ada,31,dataran,7,0
Karunia,Swakarya,150,738,tidak ada,tidak ada,4,dataran,25,1
Kayumpia,Swadaya,454,1447,tidak ada,tidak ada,3,pegunungan,20,0
Koja,Swakarya,633,566,tidak ada,tidak ada,5,pegunungan,123,0
Kotapulu,Swasembada,1948,32,tidak ada,ada,25,dataran,7,2
Kotarindau,Swakarya,3767,28,ada,tidak ada,124,dataran,7,1
Lambara,Swasembada,1464,93,tidak ada,tidak ada,22,dataran,17,0
Langaleso,Swakarya,2495,45,tidak ada,tidak ada,55,dataran,7,1
Langko,Swakarya,817,995,tidak ada,tidak ada,10,pegunungan,89,0
Lawe,Swakarya,428,876,tidak ada,tidak ada,1,pegunungan,123,0
Lawua,Swakarya,1494,426,ada,tidak ada,26,dataran,96,1
Lebanu,Swadaya,474,139,tidak ada,tidak ada,5,perbukitan,18,0
